日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
201909051015,13771,13782,13769,13781,13776,13789,13776,13786
201909051016,13781,13786,13775,13776,13786,13791,13780,13781
201909051017,13776,13776,13764,13765,13781,13781,13770,13770
201909051018,13765,13767,13762,13762,13770,13773,13767,13767
201909051019,13762,13766,13759,13761,13767,13771,13765,13766
201909051020,13761,13766,13760,13766,13766,13771,13765,13771
201909051021,13766,13768,13764,13768,13771,13773,13769,13773
201909051022,13769,13784,13769,13781,13774,13789,13774,13786
201909051023,13781,13791,13781,13788,13786,13796,13786,13793
201909051024,13788,13788,13784,13784,13793,13793,13789,13789
201909051025,13784,13805,13784,13804,13789,13810,13789,13809
201909051026,13805,13840,13805,13837,13810,13845,13810,13842
201909051027,13837,13871,13837,13862,13842,13876,13842,13867
201909051028,13862,13866,13851,13860,13867,13871,13856,13865
201909051029,13860,13871,13857,13858,13865,13876,13862,13863
201909051030,13858,13861,13834,13854,13863,13866,13839,13859
201909051031,13854,13863,13847,13861,13859,13869,13852,13869
201909051032,13864,13882,13863,13877,13869,13888,13868,13882
201909051033,13877,13883,13859,13864,13882,13888,13864,13869
201909051034,13864,13887,13862,13886,13869,13892,13867,13891
201909051035,13886,13924,13886,13919,13891,13929,13891,13924
201909051036,13919,13925,13904,13908,13924,13930,13910,13913
201909051037,13909,13934,13907,13924,13914,13939,13912,13930
201909051038,13923,13926,13905,13907,13928,13931,13910,13913
201909051039,13907,13913,13887,13891,13913,13918,13892,13896
201909051040,13891,13903,13891,13900,13896,13908,13896,13905
201909051041,13900,13900,13878,13879,13905,13905,13883,13884
201909051042,13879,13886,13866,13869,13884,13891,13871,13874
201909051043,13869,13881,13867,13880,13874,13886,13872,13885
201909051044,13880,13891,13879,13891,13885,13896,13884,13896
201909051045,13891,13897,13881,13882,13896,13902,13886,13887
201909051046,13882,13886,13877,13881,13887,13891,13882,13886
201909051047,13882,13899,13881,13899,13887,13904,13886,13904
201909051048,13899,13902,13891,13899,13904,13907,13896,13905
201909051049,13899,13911,13896,13909,13905,13916,13901,13914
201909051050,13909,13926,13905,13926,13914,13931,13910,13931
201909051051,13927,13949,13923,13945,13932,13954,13928,13950
201909051052,13945,13945,13919,13931,13950,13950,13924,13936
201909051053,13931,13936,13926,13927,13936,13941,13931,13932
201909051054,13927,13933,13920,13922,13932,13938,13925,13928
201909051055,13922,13932,13922,13927,13928,13938,13928,13932
201909051056,13927,13930,13922,13925,13932,13935,13927,13931
201909051057,13925,13932,13919,13919,13930,13939,13924,13926
201909051058,13919,13944,13919,13934,13926,13949,13924,13939
201909051059,13934,13941,13924,13930,13939,13946,13930,13935
201909051100,13931,13941,13931,13935,13936,13947,13936,13940
201909051101,13935,13942,13934,13936,13940,13947,13939,13941
201909051102,13936,13937,13927,13927,13941,13942,13932,13932
201909051103,13926,13941,13926,13937,13931,13946,13931,13943
201909051104,13937,13938,13933,13935,13943,13943,13938,13940
201909051105,13935,13943,13928,13928,13940,13948,13933,13933
201909051106,13928,13943,13928,13942,13933,13948,13933,13948
201909051107,13942,13942,13933,13936,13948,13948,13938,13941
201909051108,13936,13937,13926,13928,13941,13942,13932,13933
201909051109,13928,13930,13917,13917,13933,13935,13922,13922
201909051110,13917,13939,13917,13936,13922,13944,13922,13941
201909051111,13935,13940,13932,13937,13940,13945,13937,13942
201909051112,13936,13956,13935,13956,13941,13961,13940,13961
201909051113,13956,13959,13949,13955,13961,13964,13954,13960
201909051114,13955,13961,13946,13952,13960,13966,13951,13958
201909051115,13953,13956,13937,13945,13958,13961,13942,13950
201909051116,13945,13945,13939,13940,13950,13950,13944,13945
201909051117,13940,13946,13937,13941,13945,13951,13942,13946
201909051118,13941,13941,13931,13940,13946,13946,13937,13945
201909051119,13941,13946,13939,13944,13946,13951,13944,13949
201909051120,13944,13948,13942,13946,13949,13953,13947,13951
201909051121,13946,13955,13946,13953,13951,13960,13951,13958
201909051122,13953,13953,13944,13944,13958,13958,13949,13949
201909051123,13943,13950,13939,13941,13948,13955,13945,13946
201909051124,13942,13952,13942,13951,13947,13957,13947,13956
201909051125,13951,13956,13949,13955,13956,13961,13954,13961
201909051126,13955,13968,13950,13968,13961,13973,13955,13973
201909051127,13968,13976,13961,13975,13973,13981,13966,13980
201909051128,13975,13975,13965,13966,13980,13980,13970,13971
201909051129,13966,13969,13961,13963,13971,13974,13966,13968
201909051130,13963,13980,13963,13980,13968,13986,13968,13985
201909051131,13980,13987,13976,13987,13985,13993,13982,13993
201909051132,13987,14023,13987,14019,13993,14028,13993,14024
201909051133,14019,14019,14000,14001,14024,14024,14005,14006
201909051134,14001,14001,13984,13984,14006,14006,13989,13989
201909051135,13984,13999,13984,13989,13989,14004,13989,13994
201909051136,13988,13988,13956,13956,13993,13993,13961,13961
201909051137,13957,13961,13951,13957,13962,13966,13956,13962
201909051138,13956,13975,13955,13969,13961,13980,13960,13974
201909051139,13969,13973,13963,13970,13974,13979,13968,13975
201909051140,13970,13974,13962,13967,13975,13979,13967,13972
201909051141,13967,13971,13961,13962,13972,13976,13966,13967
201909051142,13962,13966,13956,13957,13967,13971,13961,13962
201909051143,13957,13964,13956,13964,13962,13969,13961,13969
201909051144,13963,13970,13963,13968,13968,13975,13968,13973
201909051145,13968,13970,13954,13955,13973,13976,13959,13960
201909051146,13954,13962,13954,13956,13959,13967,13959,13961
201909051147,13956,13956,13936,13942,13961,13961,13941,13947
201909051148,13941,13943,13936,13940,13946,13949,13942,13945
201909051149,13940,13946,13929,13943,13945,13951,13934,13948
201909051150,13943,13945,13936,13940,13948,13950,13941,13945
201909051151,13940,13952,13939,13948,13945,13958,13944,13953
201909051152,13948,13954,13944,13953,13953,13959,13949,13958
201909051153,13953,13953,13944,13945,13958,13958,13949,13950
201909051154,13945,13945,13932,13936,13950,13950,13937,13941
201909051155,13936,13941,13929,13941,13941,13946,13934,13946
201909051156,13941,13941,13935,13937,13946,13946,13940,13943
201909051157,13937,13944,13934,13939,13943,13949,13939,13944
201909051158,13939,13943,13939,13941,13944,13948,13944,13946
201909051159,13942,13954,13939,13954,13947,13959,13944,13959
201909051200,13954,13956,13946,13954,13959,13961,13951,13959
201909051201,13954,13956,13944,13949,13959,13961,13949,13954
201909051202,13948,13948,13934,13934,13953,13953,13939,13940
201909051203,13935,13943,13931,13932,13940,13948,13936,13937
201909051204,13932,13932,13916,13918,13937,13937,13921,13923
201909051205,13918,13929,13915,13928,13923,13934,13920,13933
201909051206,13928,13937,13927,13929,13933,13942,13932,13934
201909051207,13929,13936,13929,13932,13934,13941,13934,13937
201909051208,13931,13945,13931,13944,13936,13950,13936,13949
201909051209,13944,13944,13934,13934,13949,13949,13939,13939
201909051210,13934,13941,13932,13932,13939,13946,13937,13937
201909051211,13931,13943,13929,13943,13936,13948,13934,13948
201909051212,13943,13943,13932,13935,13948,13949,13937,13940
201909051213,13935,13937,13917,13919,13940,13942,13922,13924
201909051214,13919,13922,13912,13916,13924,13927,13917,13921
201909051215,13916,13923,13911,13915,13921,13929,13918,13920
201909051216,13915,13918,13907,13918,13920,13923,13912,13923
201909051217,13918,13923,13917,13918,13923,13929,13922,13923
201909051218,13918,13918,13902,13912,13923,13923,13907,13917
201909051219,13912,13921,13910,13916,13917,13926,13915,13921
201909051220,13916,13929,13914,13929,13921,13934,13919,13934
201909051221,13928,13928,13918,13918,13933,13933,13923,13923
201909051222,13918,13922,13914,13919,13923,13927,13919,13924
201909051223,13919,13926,13918,13920,13924,13931,13923,13925
201909051224,13920,13925,13916,13921,13925,13930,13922,13926
201909051225,13921,13923,13916,13920,13926,13928,13921,13925
201909051226,13920,13928,13920,13927,13925,13933,13925,13932
201909051227,13927,13927,13922,13922,13932,13934,13927,13927
201909051228,13922,13928,13922,13928,13927,13934,13927,13933
