日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202004241500,2759.4,2759.4,2754.8,2757.2,2761.4,2761.4,2756.8,2759.2
202004241501,2757.2,2760.5,2757.2,2758.3,2759.2,2762.5,2759.2,2760.3
202004241502,2758.3,2760.6,2757.2,2759.1,2760.3,2762.6,2759.2,2761.1
202004241503,2759.1,2759.1,2756.9,2757.5,2761.1,2761.1,2758.9,2759.5
202004241504,2757.4,2758.5,2757,2757.1,2759.4,2760.5,2759,2759.1
202004241505,2757.1,2757.3,2755.9,2756.6,2759.1,2759.3,2757.9,2758.6
202004241506,2756.6,2756.6,2752.8,2753.2,2758.6,2758.6,2754.8,2755.2
202004241507,2753.2,2754.7,2752.7,2752.9,2755.2,2756.7,2754.7,2754.9
202004241508,2752.9,2756.2,2752.9,2756.2,2754.9,2758.2,2754.9,2758.2
202004241509,2756,2757,2755.3,2755.6,2758,2759,2757.3,2757.6
202004241510,2755.6,2756.4,2755.4,2756,2757.6,2758.4,2757.4,2758
202004241511,2756,2756,2753.6,2754.5,2758,2758,2755.6,2756.5
202004241512,2754.5,2759,2754.3,2759,2756.5,2761,2756.3,2761
202004241513,2759,2760.5,2757.4,2760,2761,2762.5,2759.4,2762
202004241514,2760,2763.4,2759.8,2762.8,2762,2765.4,2761.8,2764.8
202004241515,2762.8,2767.6,2762.8,2767.6,2764.8,2769.6,2764.8,2769.6
202004241516,2767.6,2768,2765.7,2766.5,2769.6,2770,2767.7,2768.5
202004241517,2766.5,2769.5,2766.5,2769.5,2768.5,2771.5,2768.5,2771.5
202004241518,2769.5,2769.5,2767.4,2769,2771.5,2771.5,2769.4,2771
202004241519,2769,2770,2767.4,2768.4,2771,2772,2769.4,2770.4
202004241520,2768.4,2770.3,2768.4,2770,2770.4,2772.3,2770.4,2772
202004241521,2770,2770,2767.6,2768.3,2772,2772,2769.6,2770.3
202004241522,2768.3,2768.7,2766.8,2767.1,2770.3,2770.7,2768.8,2769.1
202004241523,2767.1,2767.9,2766.3,2767,2769.1,2769.9,2768.3,2769
202004241524,2767,2768.3,2766.6,2768.3,2769,2770.3,2768.6,2770.3
202004241525,2768.3,2768.4,2765.7,2767,2770.3,2770.4,2767.7,2769
202004241526,2767,2767,2765,2766.2,2769,2769,2767,2768.2
202004241527,2766.2,2766.4,2764.7,2764.7,2768.2,2768.4,2766.7,2766.7
202004241528,2764.6,2765.4,2764.5,2764.9,2766.6,2767.4,2766.5,2766.9
202004241529,2764.9,2764.9,2762.5,2762.5,2766.9,2766.9,2764.5,2764.5
202004241530,2762.5,2762.5,2760.9,2761.2,2764.5,2764.5,2762.9,2763.2
202004241531,2761.2,2761.6,2760,2760.3,2763.2,2763.6,2762,2762.3
202004241532,2760.3,2763.8,2760,2763.8,2762.3,2765.8,2762,2765.8
202004241533,2763.8,2764,2762.7,2762.7,2765.8,2766,2764.7,2764.7
202004241534,2762.7,2764.3,2762.6,2762.7,2764.7,2766.3,2764.6,2764.7
202004241535,2762.7,2765.1,2762.7,2764.9,2764.7,2767.1,2764.7,2766.9
202004241536,2764.9,2764.9,2762.5,2763.6,2766.9,2766.9,2764.5,2765.6
202004241537,2763.5,2764.5,2763.4,2764.5,2765.5,2766.5,2765.4,2766.5
202004241538,2764.5,2767,2764.5,2766.2,2766.5,2769,2766.5,2768.2
202004241539,2766.2,2766.8,2765.2,2766.2,2768.2,2768.8,2767.2,2768.2
202004241540,2766.2,2767,2764.5,2764.5,2768.2,2769,2766.5,2766.5
202004241541,2764.5,2766.1,2763.3,2765.8,2766.5,2768.1,2765.3,2767.8
202004241542,2765.8,2766.8,2765.1,2765.2,2767.8,2768.8,2767.1,2767.2
202004241543,2765.2,2766.4,2765.2,2766,2767.2,2768.4,2767.2,2768
202004241544,2766,2767.7,2766,2767.5,2768,2769.7,2768,2769.5
202004241545,2767.5,2770.2,2767.5,2770.2,2769.5,2772.2,2769.5,2772.2
202004241546,2770.2,2770.2,2767.8,2769,2772.2,2772.2,2769.8,2771
202004241547,2769,2770.3,2769,2769.6,2771,2772.3,2771,2771.6
