日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202110181500,15552.4,15552.4,15540.8,15546.3,15555,15555,15543.3,15548.1
202110181501,15546.3,15547,15540.8,15541.8,15548.1,15549.7,15543.4,15544.3
202110181502,15541.8,15545.8,15539,15539.7,15544.3,15547.5,15541.4,15541.4
202110181503,15539.7,15540,15535.1,15535.1,15541.4,15541.8,15537.5,15537.7
202110181504,15535.1,15536,15529.9,15529.9,15537.7,15537.9,15531.6,15531.6
202110181505,15529.8,15531.3,15524.3,15524.9,15531.5,15533.9,15526.1,15526.6
202110181506,15524.8,15526.6,15521.6,15524.6,15526.5,15528.3,15523.8,15526.3
202110181507,15524.6,15525.3,15520.9,15521.1,15526.3,15527,15522.7,15523.6
202110181508,15521.1,15523.7,15519.9,15520.6,15523.6,15525.3,15521.6,15522.3
202110181509,15520.9,15525.3,15518.4,15518.4,15522.6,15527,15520.5,15520.9
202110181510,15518.4,15523.2,15517.9,15519,15520.9,15525,15520,15520.7
202110181511,15519,15519.2,15514.3,15514.3,15520.7,15520.9,15516.1,15516.1
202110181512,15514.3,15515.3,15509.2,15509.5,15516.1,15517.3,15511,15512
202110181513,15509.5,15515.9,15509.3,15514.3,15512,15517.6,15511.4,15516
202110181514,15514.3,15514.8,15510,15511.2,15516,15516.3,15512.1,15513.8
202110181515,15511.2,15513,15509.5,15511.1,15513.8,15514.8,15511.3,15513.1
202110181516,15511.1,15512.2,15508,15508.1,15513.1,15514,15509.8,15510.1
202110181517,15508.1,15508.8,15503,15503,15510.1,15510.4,15505.1,15505.5
202110181518,15503,15504,15501.2,15501.6,15505.5,15506,15503,15503.3
202110181519,15501.6,15503,15500.8,15503,15503.3,15504.8,15502.8,15504.8
202110181520,15503,15507.2,15502.8,15507.1,15504.8,15509.1,15504.5,15509.1
202110181521,15507.1,15508.9,15505.5,15506,15509.1,15510.6,15507.4,15507.8
202110181522,15506,15511.6,15504.6,15505,15507.8,15513.2,15506.7,15506.8
202110181523,15505,15512.3,15501.2,15512.2,15506.8,15514.7,15503.8,15514
202110181524,15512.3,15513.2,15510.2,15512.2,15514.1,15515,15512.2,15514
202110181525,15512.2,15512.4,15507.3,15507.7,15514,15514.1,15509.3,15509.4
202110181526,15507.6,15510,15507.2,15509.2,15509.3,15511.8,15509,15511
202110181527,15509.2,15512.8,15508.6,15511.9,15511,15514.5,15510.2,15513.7
202110181528,15511.9,15512.2,15509,15509.7,15513.7,15514.4,15511,15511.4
202110181529,15509.7,15512.9,15508.9,15511.9,15511.4,15514.6,15510.9,15513.9
202110181530,15511.6,15514.3,15510.3,15514,15514.1,15516.1,15512.7,15515.8
202110181531,15514,15517.6,15504.8,15517.2,15515.8,15519.2,15506.5,15519
202110181532,15517.2,15517.2,15510.1,15512.7,15519,15519,15512.7,15514.3
202110181533,15512.7,15519,15511.9,15517,15514.3,15520.8,15513.9,15519.5
202110181534,15517,15517.8,15514.8,15516.9,15519.5,15519.9,15516.8,15518.7
202110181535,15516.9,15517.9,15514.5,15514.9,15518.7,15519.8,15516.2,15516.6
202110181536,15514.9,15518,15514.6,15516.1,15516.6,15519.8,15516.6,15518.7
202110181537,15516.1,15516.1,15514.9,15515.8,15518.7,15518.7,15516.6,15517.5
202110181538,15515.9,15516.9,15513.6,15516.9,15517.6,15518.6,15515.2,15518.6
202110181539,15516.9,15518.6,15516,15517.7,15518.6,15520.1,15517.8,15519.8
202110181540,15517.7,15519.3,15516.2,15519.2,15519.8,15521.1,15518,15521
202110181541,15519.2,15520.3,15508,15508.7,15521,15522,15509.8,15510.4
202110181542,15508.5,15510.7,15508,15509.9,15510.2,15512.6,15510,15511.7
202110181543,15509.9,15511.9,15508.1,15510.3,15511.7,15513.9,15510.7,15512.9
202110181544,15510.3,15512.7,15507,15507.9,15512.9,15514.4,15508.8,15509.7
202110181545,15508,15509.1,15507.1,15507.5,15509.8,15511.2,15509.2,15509.2
202110181546,15507.5,15508.4,15505.4,15506.4,15509.2,15510.1,15507.7,15508.9
202110181547,15506.4,15509.2,15506.3,15507.9,15508.9,15511,15508,15509.6
202110181548,15507.6,15508.5,15504.4,15505.9,15509.3,15510.2,15506.1,15507.6
202110181549,15505.9,15506.4,15504.7,15506,15507.6,15508.1,15506.4,15507.7
202110181550,15505.4,15506,15502,15504.9,15507.1,15507.7,15503.8,15505.9
202110181551,15504.9,15511,15504.2,15511,15505.9,15512.8,15505.9,15512.8
202110181552,15511,15515.7,15511,15512.2,15512.8,15517.3,15512.6,15514
202110181553,15512.2,15513,15511.3,15511.6,15514,15515.1,15513.1,15514.1
