日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202107071015,27812,27821,27771,27809,27824,27827,27779,27816
202107071016,27812,27812,27752,27754,27817,27817,27758,27760
202107071017,27754,27775,27753,27771,27760,27779,27759,27776
202107071018,27771,27778,27766,27774,27776,27781,27770,27777
202107071019,27774,27783,27760,27760,27779,27786,27764,27764
202107071020,27760,27788,27753,27758,27764,27793,27758,27762
202107071021,27758,27763,27744,27746,27762,27767,27748,27752
202107071022,27747,27749,27730,27734,27752,27753,27734,27739
202107071023,27734,27742,27724,27730,27739,27746,27730,27734
202107071024,27730,27744,27728,27740,27734,27748,27732,27745
202107071025,27740,27754,27740,27751,27745,27758,27744,27754
202107071026,27751,27765,27751,27762,27754,27769,27754,27766
202107071027,27762,27762,27738,27743,27766,27766,27742,27747
202107071028,27742,27757,27742,27757,27746,27761,27746,27760
202107071029,27757,27765,27756,27761,27760,27768,27759,27765
202107071030,27761,27785,27705,27785,27765,27790,27710,27790
202107071031,27784,27820,27763,27763,27788,27824,27767,27767
202107071032,27763,27802,27763,27790,27767,27806,27767,27795
202107071033,27789,27810,27774,27783,27794,27813,27778,27787
202107071034,27785,27805,27770,27777,27789,27809,27774,27781
202107071035,27777,27800,27760,27796,27781,27803,27764,27800
202107071036,27796,27813,27777,27791,27800,27817,27780,27795
202107071037,27790,27801,27773,27782,27795,27805,27776,27786
202107071038,27782,27802,27782,27798,27786,27806,27786,27802
202107071039,27798,27836,27798,27830,27802,27840,27802,27833
202107071040,27830,27844,27817,27830,27833,27847,27821,27834
202107071041,27830,27844,27818,27832,27834,27848,27823,27836
202107071042,27832,27870,27830,27870,27836,27874,27834,27874
202107071043,27868,27870,27835,27842,27871,27874,27838,27846
202107071044,27842,27851,27813,27817,27847,27855,27817,27821
202107071045,27816,27824,27797,27797,27820,27827,27800,27800
202107071046,27797,27798,27763,27769,27800,27801,27766,27773
202107071047,27769,27780,27757,27764,27773,27783,27761,27768
202107071048,27764,27791,27759,27789,27768,27795,27764,27792
202107071049,27789,27793,27765,27775,27792,27796,27769,27778
202107071050,27774,27803,27769,27771,27778,27807,27772,27775
202107071051,27771,27782,27759,27771,27775,27785,27763,27775
202107071052,27771,27784,27761,27779,27775,27788,27765,27783
202107071053,27778,27785,27753,27758,27781,27789,27756,27762
202107071054,27758,27766,27746,27766,27762,27770,27750,27769
202107071055,27766,27790,27760,27782,27769,27794,27764,27786
202107071056,27783,27796,27777,27792,27787,27799,27781,27795
202107071057,27792,27809,27785,27806,27795,27812,27788,27810
202107071058,27806,27820,27796,27818,27810,27823,27799,27822
202107071059,27818,27831,27803,27813,27822,27834,27807,27817
202107071100,27812,27830,27795,27825,27816,27833,27799,27828
202107071101,27825,27838,27817,27836,27828,27842,27820,27840
202107071102,27837,27854,27832,27854,27840,27858,27835,27858
202107071103,27854,27858,27836,27849,27858,27861,27839,27853
202107071104,27849,27856,27843,27848,27853,27860,27846,27852
202107071105,27849,27859,27845,27859,27853,27862,27848,27862
202107071106,27859,27873,27854,27864,27862,27877,27858,27868
202107071107,27863,27874,27848,27852,27867,27878,27851,27855
202107071108,27852,27883,27851,27881,27856,27887,27855,27885
202107071109,27882,27885,27861,27861,27886,27888,27865,27865
202107071110,27861,27879,27858,27874,27865,27882,27862,27877
202107071111,27873,27877,27851,27853,27876,27880,27854,27857
202107071112,27853,27853,27827,27827,27857,27857,27831,27831
202107071113,27828,27836,27823,27832,27832,27839,27826,27836
202107071114,27831,27845,27831,27843,27834,27849,27834,27846
202107071115,27843,27846,27828,27828,27846,27850,27831,27831
202107071116,27828,27835,27817,27834,27831,27839,27821,27837
202107071117,27833,27839,27823,27830,27836,27843,27826,27834
202107071118,27830,27833,27815,27828,27834,27837,27818,27832
202107071119,27826,27833,27811,27822,27830,27837,27815,27826
202107071120,27822,27843,27822,27837,27826,27846,27826,27840
202107071121,27837,27837,27803,27810,27840,27840,27807,27813
202107071122,27810,27824,27806,27821,27813,27828,27809,27825
202107071123,27821,27825,27808,27822,27825,27829,27811,27826
202107071124,27822,27835,27822,27834,27826,27838,27826,27838
202107071125,27834,27835,27813,27824,27838,27838,27817,27827
202107071126,27824,27843,27824,27839,27828,27846,27828,27843
202107071127,27839,27840,27819,27820,27843,27844,27822,27824
202107071128,27820,27827,27813,27822,27824,27831,27817,27825
202107071129,27821,27839,27821,27839,27825,27843,27824,27843
202107071130,27838,27848,27837,27848,27842,27852,27840,27852
202107071131,27848,27857,27841,27848,27852,27860,27844,27852
202107071132,27848,27850,27835,27849,27852,27854,27838,27852
202107071133,27850,27853,27828,27838,27853,27857,27832,27841
202107071134,27838,27839,27824,27825,27841,27843,27827,27829
202107071135,27825,27834,27822,27834,27829,27838,27825,27837
202107071136,27834,27837,27799,27800,27837,27841,27802,27803
202107071137,27800,27801,27763,27763,27803,27804,27766,27767
202107071138,27762,27764,27750,27754,27766,27767,27753,27757
