日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202109270830,30072,30072,30042,30042,30079,30082,30049,30050
202109270831,30042,30051,30031,30050,30050,30057,30039,30054
202109270832,30050,30050,30041,30045,30054,30056,30049,30050
202109270833,30043,30057,30042,30056,30050,30066,30049,30063
202109270834,30056,30060,30052,30052,30063,30065,30060,30060
202109270835,30052,30061,30050,30061,30060,30066,30057,30064
202109270836,30061,30070,30061,30066,30064,30076,30064,30076
202109270837,30066,30067,30065,30065,30076,30076,30070,30070
202109270838,30065,30071,30065,30070,30070,30078,30070,30078
202109270839,30070,30071,30070,30071,30078,30079,30078,30078
202109270840,30071,30080,30071,30075,30078,30087,30078,30082
202109270841,30075,30077,30060,30065,30082,30087,30069,30073
202109270842,30065,30082,30064,30074,30073,30091,30073,30080
202109270843,30072,30089,30068,30083,30080,30095,30077,30089
202109270844,30083,30083,30054,30056,30089,30093,30063,30065
202109270845,30060,30074,30060,30074,30061,30080,30061,30078
202109270846,30073,30087,30073,30084,30079,30089,30078,30089
202109270847,30084,30087,30081,30081,30089,30089,30083,30083
202109270848,30081,30081,30066,30067,30083,30083,30068,30072
202109270849,30067,30068,30062,30062,30072,30073,30066,30067
202109270850,30062,30063,30041,30045,30067,30069,30046,30051
202109270851,30045,30057,30045,30053,30051,30065,30051,30060
202109270852,30054,30054,30051,30052,30060,30062,30056,30058
202109270853,30052,30053,30042,30049,30058,30063,30048,30055
202109270854,30049,30057,30049,30056,30055,30062,30055,30060
202109270855,30056,30081,30056,30073,30060,30084,30059,30081
202109270856,30072,30078,30069,30072,30080,30083,30076,30076
202109270857,30071,30083,30071,30080,30076,30089,30076,30086
202109270858,30080,30089,30080,30089,30088,30094,30087,30093
202109270859,30089,30095,30084,30091,30093,30100,30091,30095
202109270900,30091,30093,30055,30064,30095,30099,30061,30072
202109270901,30064,30094,30055,30094,30073,30099,30060,30098
202109270902,30094,30148,30094,30148,30098,30153,30098,30153
202109270903,30150,30194,30150,30193,30155,30199,30155,30198
202109270904,30194,30199,30170,30199,30198,30206,30176,30206
202109270905,30200,30229,30194,30229,30207,30234,30201,30233
202109270906,30225,30226,30189,30207,30232,30233,30195,30215
202109270907,30205,30223,30200,30201,30215,30230,30205,30205
202109270908,30201,30221,30201,30202,30205,30225,30205,30207
202109270909,30202,30209,30187,30209,30207,30214,30194,30214
202109270910,30209,30213,30194,30198,30214,30218,30201,30205
202109270911,30198,30206,30194,30195,30205,30213,30199,30199
202109270912,30195,30202,30171,30172,30199,30208,30175,30177
202109270913,30172,30174,30166,30169,30176,30179,30170,30173
202109270914,30169,30181,30166,30172,30173,30184,30173,30177
202109270915,30172,30175,30142,30151,30176,30179,30145,30157
202109270916,30150,30159,30141,30141,30158,30163,30145,30145
202109270917,30141,30159,30136,30158,30145,30163,30141,30162
202109270918,30158,30162,30143,30143,30162,30167,30147,30147
202109270919,30143,30160,30136,30136,30146,30163,30140,30140
202109270920,30136,30136,30106,30106,30140,30140,30110,30111
202109270921,30106,30118,30096,30114,30110,30123,30100,30118
202109270922,30113,30118,30111,30112,30118,30123,30116,30116
202109270923,30112,30113,30103,30111,30117,30118,30108,30116
202109270924,30111,30125,30107,30115,30116,30129,30112,30120
202109270925,30115,30131,30107,30131,30120,30134,30113,30133
202109270926,30131,30141,30130,30130,30133,30144,30133,30134
202109270927,30130,30130,30120,30125,30134,30134,30124,30129
202109270928,30125,30127,30117,30124,30129,30133,30121,30129
202109270929,30124,30125,30121,30122,30129,30131,30125,30126
202109270930,30122,30122,30106,30112,30126,30126,30110,30117
202109270931,30112,30129,30112,30128,30117,30133,30117,30133
202109270932,30128,30130,30118,30124,30133,30133,30124,30128
202109270933,30124,30124,30112,30112,30128,30128,30115,30116
202109270934,30112,30113,30106,30107,30116,30118,30109,30112
202109270935,30107,30107,30082,30082,30112,30112,30086,30086
202109270936,30084,30102,30082,30102,30088,30107,30087,30107
202109270937,30103,30108,30086,30086,30107,30113,30091,30091
202109270938,30086,30088,30069,30079,30091,30092,30073,30083
202109270939,30079,30094,30072,30092,30083,30098,30076,30096
202109270940,30091,30104,30088,30097,30095,30109,30094,30102
202109270941,30100,30102,30096,30100,30103,30108,30099,30103
202109270942,30100,30100,30092,30099,30103,30103,30095,30103
202109270943,30099,30117,30099,30116,30103,30122,30103,30120
202109270944,30116,30127,30113,30127,30120,30132,30118,30132
202109270945,30127,30144,30123,30142,30132,30149,30129,30145
