日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
201811090830,22419,22419,22416,22418,22424,22425,22418,22425
201811090831,22418,22419,22415,22418,22425,22425,22422,22424
201811090832,22418,22427,22418,22427,22424,22432,22423,22431
201811090833,22427,22428,22425,22426,22431,22435,22431,22432
201811090834,22426,22429,22426,22427,22432,22435,22430,22435
201811090835,22427,22427,22425,22427,22434,22435,22428,22429
201811090836,22427,22427,22425,22425,22429,22429,22428,22429
201811090837,22425,22426,22420,22421,22429,22429,22423,22423
201811090838,22421,22422,22417,22419,22423,22425,22423,22425
201811090839,22419,22419,22415,22417,22425,22425,22418,22418
201811090840,22417,22423,22410,22420,22418,22430,22413,22427
201811090841,22420,22422,22420,22420,22427,22430,22427,22428
201811090842,22420,22423,22420,22423,22428,22430,22426,22429
201811090843,22423,22423,22419,22420,22429,22430,22424,22429
201811090844,22421,22421,22411,22415,22428,22428,22419,22422
201811090845,22420,22420,22397,22397,22421,22423,22402,22402
201811090846,22396,22399,22391,22398,22401,22403,22393,22403
201811090847,22398,22407,22398,22407,22403,22410,22403,22410
201811090848,22407,22408,22406,22406,22410,22413,22409,22411
201811090849,22406,22407,22406,22407,22411,22412,22410,22411
201811090850,22407,22407,22406,22406,22411,22412,22410,22412
201811090851,22406,22412,22406,22412,22411,22414,22410,22414
201811090852,22412,22412,22411,22412,22414,22414,22413,22414
201811090853,22412,22435,22412,22432,22414,22439,22414,22435
201811090854,22432,22442,22431,22440,22435,22446,22434,22445
201811090855,22440,22440,22431,22440,22445,22445,22435,22444
201811090856,22440,22440,22431,22431,22444,22444,22433,22433
201811090857,22431,22432,22431,22432,22433,22434,22433,22433
201811090858,22432,22447,22426,22445,22433,22452,22430,22450
201811090859,22445,22450,22431,22440,22450,22454,22435,22443
201811090900,22440,22455,22437,22444,22443,22459,22443,22449
201811090901,22444,22462,22441,22462,22449,22467,22443,22466
201811090902,22462,22462,22445,22451,22465,22465,22449,22455
201811090903,22451,22451,22438,22439,22455,22455,22443,22444
201811090904,22439,22440,22427,22431,22444,22444,22432,22435
201811090905,22430,22437,22429,22431,22436,22439,22434,22435
201811090906,22431,22446,22431,22446,22435,22449,22433,22449
201811090907,22446,22475,22438,22472,22449,22479,22443,22476
201811090908,22471,22478,22467,22474,22476,22483,22472,22479
201811090909,22474,22477,22466,22468,22479,22479,22469,22473
201811090910,22468,22472,22466,22471,22473,22476,22469,22476
201811090911,22471,22477,22467,22477,22476,22482,22469,22480
201811090912,22477,22479,22476,22477,22480,22484,22478,22481
201811090913,22477,22477,22471,22476,22481,22482,22474,22479
201811090914,22476,22476,22474,22475,22479,22479,22478,22479
201811090915,22474,22479,22469,22477,22479,22484,22473,22480
201811090916,22477,22482,22475,22476,22480,22487,22478,22478
201811090917,22477,22477,22454,22465,22478,22479,22458,22468
201811090918,22465,22465,22456,22461,22468,22468,22460,22463
201811090919,22461,22466,22461,22462,22463,22469,22463,22466
201811090920,22462,22472,22458,22471,22466,22476,22463,22474
201811090921,22471,22474,22462,22474,22474,22478,22465,22478
201811090922,22474,22474,22460,22464,22478,22479,22463,22468
201811090923,22464,22465,22452,22458,22468,22468,22456,22464
201811090924,22460,22460,22455,22456,22463,22464,22458,22459
201811090925,22456,22456,22441,22445,22459,22459,22446,22449
201811090926,22445,22445,22431,22441,22449,22449,22434,22445
201811090927,22441,22451,22436,22450,22445,22455,22440,22454
201811090928,22451,22452,22440,22445,22454,22456,22445,22448
201811090929,22444,22447,22436,22441,22448,22452,22439,22446
201811090930,22441,22461,22441,22453,22446,22467,22446,22458
