日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
201902070830,20864,20866,20860,20861,20869,20870,20863,20863
201902070831,20861,20862,20852,20862,20863,20865,20859,20864
201902070832,20862,20862,20850,20853,20864,20864,20857,20859
201902070833,20853,20854,20849,20852,20859,20859,20853,20853
201902070834,20852,20852,20848,20851,20853,20854,20853,20853
201902070835,20851,20851,20846,20850,20853,20855,20848,20854
201902070836,20850,20851,20850,20851,20854,20854,20853,20853
201902070837,20851,20852,20851,20851,20853,20854,20853,20853
201902070838,20851,20852,20851,20852,20853,20854,20853,20854
201902070839,20852,20852,20848,20852,20854,20855,20853,20854
201902070840,20852,20857,20848,20850,20854,20861,20853,20854
201902070841,20850,20862,20850,20861,20854,20865,20853,20863
201902070842,20861,20872,20855,20872,20863,20876,20861,20875
201902070843,20872,20872,20862,20866,20875,20877,20869,20875
201902070844,20866,20872,20860,20871,20873,20877,20866,20877
201902070845,20870,20870,20861,20865,20871,20873,20867,20868
201902070846,20865,20868,20860,20866,20868,20873,20863,20869
201902070847,20866,20867,20856,20865,20869,20869,20860,20868
201902070848,20865,20867,20856,20856,20868,20871,20860,20861
201902070849,20856,20862,20856,20861,20860,20865,20860,20863
201902070850,20861,20865,20861,20861,20863,20869,20863,20863
201902070851,20861,20862,20861,20862,20863,20865,20863,20865
201902070852,20862,20877,20862,20872,20865,20879,20864,20876
201902070853,20872,20874,20869,20870,20876,20878,20873,20873
201902070854,20870,20870,20866,20867,20873,20873,20869,20869
201902070855,20867,20867,20861,20861,20869,20869,20866,20867
201902070856,20861,20866,20861,20866,20867,20872,20866,20868
201902070857,20866,20866,20866,20866,20868,20868,20868,20868
201902070858,20866,20870,20866,20870,20868,20874,20868,20873
201902070859,20869,20871,20864,20871,20873,20876,20868,20875
201902070900,20871,20887,20871,20882,20876,20892,20873,20885
201902070901,20882,20882,20851,20851,20886,20886,20855,20855
201902070902,20852,20856,20841,20841,20854,20862,20845,20846
201902070903,20841,20844,20828,20837,20846,20848,20833,20839
201902070904,20837,20842,20836,20842,20839,20844,20839,20844
201902070905,20842,20845,20826,20837,20844,20848,20832,20839
201902070906,20837,20838,20831,20836,20839,20845,20835,20842
201902070907,20836,20842,20831,20835,20842,20847,20836,20838
201902070908,20835,20837,20831,20832,20838,20840,20835,20836
201902070909,20832,20836,20818,20821,20836,20839,20823,20823
201902070910,20821,20822,20813,20815,20823,20827,20818,20818
201902070911,20815,20815,20797,20802,20818,20818,20801,20805
201902070912,20802,20802,20783,20790,20805,20807,20788,20794
201902070913,20790,20797,20786,20790,20794,20799,20790,20794
201902070914,20790,20797,20786,20792,20794,20799,20789,20794
201902070915,20792,20792,20786,20787,20794,20797,20790,20791
201902070916,20787,20792,20786,20787,20791,20794,20789,20789
201902070917,20787,20787,20778,20780,20789,20791,20783,20783
201902070918,20780,20786,20771,20772,20783,20789,20773,20774
201902070919,20772,20774,20758,20772,20775,20777,20763,20776
