日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202110180700,5.284,5.284,5.254,5.274,5.29,5.293,5.265,5.28
202110180701,5.274,5.282,5.274,5.276,5.28,5.288,5.28,5.282
202110180702,5.276,5.279,5.269,5.271,5.282,5.285,5.275,5.277
202110180703,5.271,5.271,5.261,5.264,5.277,5.277,5.268,5.27
202110180704,5.264,5.267,5.263,5.263,5.27,5.273,5.269,5.269
202110180705,5.263,5.274,5.262,5.274,5.269,5.28,5.268,5.28
202110180706,5.274,5.283,5.274,5.28,5.28,5.289,5.28,5.287
202110180707,5.279,5.281,5.277,5.281,5.286,5.287,5.283,5.287
202110180708,5.281,5.281,5.27,5.271,5.287,5.287,5.276,5.277
202110180709,5.271,5.272,5.271,5.272,5.277,5.278,5.277,5.278
202110180710,5.272,5.274,5.272,5.274,5.278,5.28,5.278,5.28
202110180711,5.274,5.275,5.273,5.275,5.28,5.281,5.279,5.281
202110180712,5.275,5.289,5.274,5.287,5.281,5.295,5.28,5.293
202110180713,5.287,5.29,5.286,5.289,5.293,5.296,5.292,5.295
202110180714,5.289,5.292,5.288,5.292,5.295,5.298,5.294,5.298
202110180715,5.293,5.298,5.293,5.296,5.299,5.304,5.299,5.302
202110180716,5.296,5.297,5.292,5.292,5.302,5.303,5.298,5.298
202110180717,5.291,5.291,5.282,5.282,5.297,5.297,5.288,5.288
202110180718,5.282,5.292,5.282,5.29,5.288,5.298,5.288,5.296
202110180719,5.29,5.292,5.29,5.292,5.296,5.298,5.296,5.298
202110180720,5.292,5.296,5.292,5.295,5.298,5.302,5.298,5.301
202110180721,5.295,5.302,5.294,5.301,5.301,5.308,5.3,5.307
202110180722,5.301,5.306,5.3,5.3,5.307,5.312,5.306,5.306
202110180723,5.3,5.301,5.297,5.299,5.306,5.307,5.303,5.305
202110180724,5.299,5.3,5.298,5.299,5.305,5.306,5.304,5.305
202110180725,5.299,5.301,5.299,5.301,5.305,5.307,5.305,5.307
202110180726,5.301,5.301,5.301,5.301,5.307,5.307,5.307,5.307
202110180727,5.302,5.303,5.301,5.302,5.308,5.309,5.307,5.308
202110180728,5.302,5.302,5.299,5.299,5.308,5.308,5.305,5.305
202110180729,5.3,5.3,5.283,5.285,5.306,5.306,5.289,5.291
202110180730,5.284,5.294,5.284,5.289,5.29,5.3,5.29,5.295
202110180731,5.289,5.289,5.283,5.284,5.295,5.295,5.289,5.29
202110180732,5.284,5.285,5.284,5.284,5.29,5.291,5.29,5.29
202110180733,5.285,5.287,5.284,5.285,5.291,5.293,5.29,5.291
202110180734,5.285,5.286,5.284,5.284,5.291,5.292,5.29,5.29
202110180735,5.284,5.285,5.284,5.285,5.29,5.291,5.29,5.291
202110180736,5.285,5.285,5.282,5.284,5.291,5.291,5.288,5.29
202110180737,5.284,5.284,5.281,5.282,5.29,5.29,5.287,5.288
202110180738,5.282,5.284,5.278,5.278,5.288,5.29,5.284,5.284
202110180739,5.278,5.278,5.277,5.277,5.284,5.284,5.283,5.283
202110180740,5.278,5.279,5.277,5.277,5.284,5.285,5.283,5.283
202110180741,5.277,5.279,5.277,5.279,5.283,5.285,5.283,5.285
202110180742,5.279,5.28,5.279,5.279,5.285,5.286,5.285,5.285
202110180743,5.28,5.28,5.276,5.277,5.286,5.286,5.282,5.283
202110180744,5.277,5.277,5.276,5.276,5.283,5.283,5.282,5.282
202110180745,5.276,5.278,5.276,5.278,5.282,5.284,5.282,5.284
