日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202108310700,1809.6,1809.8,1809.4,1809.8,1810.6,1810.6,1810.1,1810.2
202108310701,1809.8,1809.9,1809.8,1809.8,1810.2,1810.3,1810.2,1810.2
202108310702,1809.8,1809.8,1809.8,1809.8,1810.2,1810.2,1810.2,1810.2
202108310703,1809.8,1809.9,1809.7,1809.7,1810.2,1810.3,1810.1,1810.1
202108310704,1809.7,1809.9,1809.7,1809.9,1810.1,1810.3,1810.1,1810.3
202108310705,1809.9,1809.9,1809.7,1809.7,1810.3,1810.3,1810.1,1810.1
202108310706,1809.7,1809.7,1809.6,1809.6,1810.1,1810.1,1810,1810
202108310707,1809.6,1809.7,1809.6,1809.7,1810,1810.1,1810,1810.1
202108310708,1809.7,1809.9,1809.6,1809.9,1810.1,1810.3,1810,1810.3
202108310709,1809.9,1810,1809.9,1809.9,1810.3,1810.4,1810.3,1810.3
202108310710,1809.9,1810,1809.9,1810,1810.3,1810.4,1810.3,1810.4
202108310711,1810,1810.2,1810,1810.2,1810.4,1810.6,1810.4,1810.6
202108310712,1810.2,1810.2,1810.1,1810.2,1810.6,1810.6,1810.5,1810.6
202108310713,1810.2,1810.2,1810.1,1810.2,1810.6,1810.6,1810.5,1810.6
202108310714,1810.2,1810.2,1810.1,1810.1,1810.6,1810.6,1810.5,1810.5
202108310715,1810.1,1810.1,1810.1,1810.1,1810.5,1810.5,1810.5,1810.5
202108310716,1810.1,1810.1,1810.1,1810.1,1810.5,1810.5,1810.5,1810.5
202108310717,1810.1,1810.1,1810.1,1810.1,1810.5,1810.5,1810.5,1810.5
202108310718,1810.1,1810.1,1810,1810.1,1810.5,1810.5,1810.4,1810.5
202108310719,1810.1,1810.1,1810.1,1810.1,1810.5,1810.5,1810.5,1810.5
202108310720,1810.1,1810.1,1810,1810,1810.5,1810.5,1810.4,1810.4
202108310721,1810,1810.1,1810,1810,1810.4,1810.5,1810.4,1810.4
202108310722,1810,1810.1,1810,1810.1,1810.4,1810.5,1810.4,1810.5
202108310723,1810.1,1810.1,1810.1,1810.1,1810.5,1810.5,1810.5,1810.5
202108310724,1810.1,1810.1,1810,1810.1,1810.5,1810.5,1810.4,1810.5
202108310725,1810.1,1810.1,1810.1,1810.1,1810.5,1810.5,1810.5,1810.5
202108310726,1810.1,1810.1,1810,1810,1810.5,1810.5,1810.4,1810.4
202108310727,1810,1810.1,1810,1810.1,1810.4,1810.5,1810.4,1810.5
202108310728,1810.1,1810.1,1810,1810.1,1810.5,1810.5,1810.4,1810.5
202108310729,1810.1,1810.1,1810,1810.1,1810.5,1810.5,1810.4,1810.5
