日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202111291700,7110.9,7126.2,7110.9,7125.8,7112.7,7127.6,7112.7,7126.8
202111291701,7125.8,7128.7,7117.4,7120,7126.8,7130.2,7118.5,7121
202111291702,7120,7120,7110.9,7113.6,7121,7121,7111.9,7114.6
202111291703,7114.2,7116.1,7105.2,7105.2,7115.2,7117.1,7106.3,7106.3
202111291704,7105.2,7115.4,7105,7113.6,7106.3,7116.5,7106,7114.9
202111291705,7113.6,7119.7,7111.1,7119.7,7114.9,7120.7,7112.1,7120.7
202111291706,7119.3,7119.9,7115.7,7115.7,7120.3,7120.9,7116.8,7116.8
202111291707,7115.7,7116.8,7112.9,7113.4,7116.8,7117.8,7113.9,7114.4
202111291708,7113.4,7116.7,7106.5,7106.5,7114.4,7117.7,7107.5,7107.5
202111291709,7106.5,7106.5,7098.1,7102.1,7107.5,7107.5,7099.1,7103.1
202111291710,7102.1,7102.1,7094.4,7095.9,7103.1,7103.1,7095.4,7096.9
202111291711,7095.9,7096.4,7085.9,7087.1,7096.9,7097.4,7086.9,7088.1
202111291712,7087.1,7097.5,7087.1,7097.3,7088.1,7098.5,7088.1,7098.3
202111291713,7097.3,7105.6,7096.9,7103.8,7098.3,7106.6,7097.9,7104.8
202111291714,7103.8,7103.8,7098.8,7102.4,7104.8,7104.8,7099.8,7103.4
202111291715,7102.2,7112.2,7101.8,7111,7103.5,7113.2,7103.3,7112
202111291716,7110.9,7116.2,7104.9,7105.6,7111.9,7117.2,7105.9,7106.7
202111291717,7105.6,7108.1,7100.8,7105.2,7106.7,7109.1,7101.8,7106.3
202111291718,7104.8,7105.8,7099.6,7101.7,7106.3,7106.8,7100.6,7102.7
202111291719,7101.7,7101.9,7098.4,7100.8,7102.7,7102.9,7099.4,7101.8
202111291720,7100.8,7106.4,7097.6,7106.4,7101.8,7107.4,7098.6,7107.4
202111291721,7106.3,7108.3,7102.9,7105.8,7107.3,7109.3,7103.9,7106.8
202111291722,7105.8,7109.5,7104,7107.9,7106.8,7110.5,7105,7108.9
202111291723,7107.9,7108.9,7103.8,7103.8,7108.9,7109.9,7104.8,7104.8
202111291724,7103.8,7104.7,7097.8,7097.9,7104.8,7105.8,7098.8,7098.9
202111291725,7097.8,7099.4,7088.2,7088.2,7098.8,7100.4,7089.2,7089.2
202111291726,7088.2,7092.8,7086,7091.8,7089.2,7094.3,7087,7092.8
202111291727,7091.8,7094.3,7088.5,7088.5,7092.8,7095.3,7089.5,7089.5
202111291728,7088.5,7091.1,7086,7090.4,7089.5,7092.1,7087,7091.4
202111291729,7090.4,7093.5,7089.1,7089.6,7091.4,7094.5,7090.2,7090.7
202111291730,7089.6,7098.6,7089.4,7097.6,7090.7,7099.6,7090.4,7098.6
202111291731,7097.6,7098.6,7093.3,7095.8,7098.6,7099.6,7094.3,7096.8
202111291732,7095.8,7100.2,7093.8,7099.9,7096.8,7101.2,7094.8,7100.9
202111291733,7100.1,7110.6,7098.3,7110.4,7101.1,7111.6,7099.3,7111.4
202111291734,7110.4,7113.2,7106.9,7107.2,7111.4,7114.2,7107.9,7108.2
202111291735,7107.2,7109.8,7102.7,7103.1,7108.2,7111,7103.7,7104.1
202111291736,7103.1,7110.9,7103.1,7109.7,7104.1,7111.9,7104.1,7110.7
202111291737,7109.7,7110.6,7105.6,7107.1,7110.7,7111.6,7106.6,7108.1
202111291738,7107.1,7107.2,7103.6,7105,7108.1,7108.7,7104.6,7106
202111291739,7104.6,7108,7102.7,7106.2,7105.6,7109,7103.9,7107.2
202111291740,7106.2,7106.2,7101.6,7103.5,7107.2,7107.2,7102.6,7104.5
202111291741,7103.5,7108.3,7103,7105.1,7104.5,7109.3,7104,7106.1
202111291742,7104.9,7104.9,7099.2,7099.2,7105.9,7105.9,7100.2,7100.2
202111291743,7099.2,7099.3,7096.1,7096.1,7100.2,7100.3,7097.1,7097.1
202111291744,7096.1,7102.1,7094.9,7101.3,7097.1,7103.1,7095.9,7102.3
202111291745,7101.3,7103.4,7098,7101.4,7102.3,7104.4,7099,7102.4
202111291746,7101.4,7102.1,7095.7,7098.3,7102.4,7103.1,7096.7,7099.3
202111291747,7098.3,7099.2,7095.5,7097.3,7099.3,7100.2,7096.5,7098.3
202111291748,7097.1,7099.8,7092.9,7093.9,7098.1,7100.8,7093.9,7094.9
202111291749,7093.9,7094.6,7088.6,7090.1,7094.9,7095.6,7089.6,7091.1
202111291750,7090.1,7092.4,7086.8,7086.8,7091.1,7093.4,7087.8,7087.8
202111291751,7086.8,7087,7081.3,7081.4,7087.8,7088,7082.3,7082.4
202111291752,7081.4,7086.9,7081.4,7085.3,7082.4,7087.9,7082.4,7086.3
202111291753,7085.3,7087.3,7083.9,7084.2,7086.3,7088.3,7084.9,7085.2
202111291754,7084.2,7086,7081.4,7082.1,7085.2,7087,7082.4,7083.1
202111291755,7081.8,7085.8,7079.5,7082.6,7082.8,7086.8,7080.5,7083.6
202111291756,7082.6,7085.8,7080.9,7085.3,7083.6,7087,7081.9,7086.3
202111291757,7085.3,7085.3,7081.2,7081.7,7086.3,7086.3,7082.2,7082.7
202111291758,7081.7,7085.1,7078.9,7084.7,7082.7,7086.1,7079.9,7086
202111291759,7084.7,7092.3,7084.7,7091.8,7086,7093.3,7086,7092.9
202111291800,7091.8,7095.3,7088.6,7092.9,7092.9,7096.3,7089.7,7093.9
202111291801,7092.9,7097.4,7092.9,7093.4,7093.9,7098.4,7093.9,7094.4
202111291802,7093.4,7094,7086.1,7086.6,7094.4,7095,7087.1,7087.6
202111291803,7086.6,7089.7,7085.3,7089.7,7087.6,7090.7,7086.3,7090.7
202111291804,7089.7,7091.3,7087.4,7091.1,7090.7,7092.3,7088.4,7092.1
202111291805,7091,7094.6,7090.7,7093.6,7092,7095.6,7091.7,7094.6
202111291806,7093.6,7100.8,7093.3,7100.4,7094.6,7101.8,7094.3,7101.4
202111291807,7100.4,7106.4,7100.4,7106.4,7101.4,7107.4,7101.4,7107.4
202111291808,7106.6,7107.8,7098.5,7100.2,7107.6,7108.8,7099.6,7101.2
202111291809,7100.2,7104,7099.1,7102.8,7101.2,7105,7100.1,7103.8
202111291810,7102.8,7104.6,7100.7,7102.9,7103.8,7105.8,7101.7,7103.9
202111291811,7102.9,7108.4,7102.9,7107,7103.9,7109.4,7103.9,7108
202111291812,7107,7109.7,7106.6,7109.7,7108,7110.7,7107.7,7110.7
202111291813,7109.6,7112.8,7107.4,7107.5,7110.6,7113.8,7108.4,7108.5
202111291814,7107.5,7110.1,7106,7108.9,7108.5,7111.1,7107,7109.9
202111291815,7108.9,7112.4,7108.3,7109.3,7109.9,7113.4,7109.3,7110.3
202111291816,7109.3,7111,7106.1,7107.2,7110.3,7112,7107.1,7108.2
202111291817,7107.2,7109.1,7106,7106.5,7108.2,7110.1,7107,7107.5
202111291818,7106.4,7106.8,7100.7,7100.7,7107.4,7107.8,7101.7,7101.7
202111291819,7100.7,7102.3,7098.5,7102.3,7101.7,7103.3,7099.5,7103.3
202111291820,7102.3,7102.7,7096.6,7098,7103.3,7103.7,7097.6,7099
202111291821,7098,7103.6,7098,7102.2,7099,7104.6,7099,7103.2
202111291822,7102.2,7104.2,7101.4,7102.3,7103.2,7105.2,7102.4,7103.3
