日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202001090800,28768,28780,28768,28779,28770,28783,28770,28782
202001090801,28779,28780,28768,28769,28782,28783,28770,28771
202001090802,28769,28774,28768,28773,28771,28776,28770,28775
202001090803,28773,28778,28772,28775,28775,28780,28775,28777
202001090804,28776,28784,28776,28784,28778,28787,28778,28787
202001090805,28784,28792,28783,28791,28787,28794,28786,28793
202001090806,28791,28791,28784,28784,28793,28794,28786,28787
202001090807,28784,28791,28783,28788,28787,28794,28786,28791
202001090808,28788,28788,28787,28788,28791,28791,28790,28790
202001090809,28788,28790,28787,28787,28790,28792,28789,28790
202001090810,28787,28789,28787,28788,28790,28791,28789,28791
202001090811,28788,28788,28785,28788,28791,28791,28787,28791
202001090812,28789,28789,28786,28787,28791,28791,28790,28791
202001090813,28787,28788,28786,28788,28791,28791,28790,28791
202001090814,28788,28796,28787,28796,28791,28798,28790,28798
202001090815,28796,28799,28796,28797,28798,28802,28798,28800
202001090816,28797,28804,28797,28800,28800,28806,28800,28803
202001090817,28800,28806,28800,28804,28803,28809,28803,28807
202001090818,28805,28806,28805,28805,28807,28809,28807,28808
202001090819,28805,28805,28801,28803,28808,28808,28804,28806
202001090820,28803,28805,28802,28804,28806,28808,28805,28807
202001090821,28804,28806,28803,28806,28807,28809,28806,28808
202001090822,28806,28806,28803,28805,28808,28808,28806,28808
202001090823,28805,28806,28805,28805,28808,28809,28807,28807
202001090824,28805,28805,28798,28799,28807,28807,28801,28801
202001090825,28799,28801,28797,28800,28801,28803,28799,28803
202001090826,28800,28802,28800,28801,28803,28804,28802,28804
202001090827,28801,28804,28801,28804,28804,28806,28804,28806
202001090828,28804,28805,28802,28804,28806,28808,28805,28807
202001090829,28804,28805,28803,28804,28807,28808,28806,28806
202001090830,28804,28804,28787,28787,28806,28806,28789,28789
202001090831,28788,28788,28781,28782,28790,28790,28783,28784
202001090832,28782,28784,28779,28779,28784,28787,28781,28782
202001090833,28779,28782,28775,28775,28782,28784,28777,28778
202001090834,28775,28776,28767,28770,28778,28778,28769,28772
202001090835,28770,28771,28767,28767,28772,28773,28769,28770
202001090836,28767,28768,28760,28761,28770,28770,28763,28764
202001090837,28760,28762,28756,28756,28762,28764,28758,28758
202001090838,28757,28760,28756,28760,28759,28763,28758,28763
202001090839,28760,28772,28759,28772,28763,28774,28762,28774
202001090840,28772,28772,28765,28770,28774,28774,28767,28772
202001090841,28770,28771,28764,28767,28772,28774,28766,28770
202001090842,28767,28772,28767,28770,28770,28775,28770,28773
202001090843,28770,28770,28766,28768,28773,28773,28768,28770
202001090844,28768,28776,28766,28775,28770,28779,28768,28778
202001090845,28775,28778,28772,28778,28778,28780,28774,28780
202001090846,28778,28783,28775,28780,28780,28785,28777,28782
202001090847,28780,28780,28772,28772,28782,28782,28774,28774
202001090848,28772,28775,28768,28773,28774,28778,28771,28776
202001090849,28773,28776,28769,28775,28776,28779,28771,28777
202001090850,28775,28777,28775,28777,28777,28779,28777,28779
202001090851,28777,28777,28772,28776,28779,28779,28775,28778
202001090852,28776,28778,28774,28778,28778,28781,28776,28780
202001090853,28777,28778,28775,28775,28779,28781,28777,28777
202001090854,28775,28779,28775,28779,28777,28782,28777,28782
202001090855,28779,28780,28778,28780,28782,28783,28781,28783
202001090856,28780,28780,28778,28779,28783,28783,28780,28781
202001090857,28779,28779,28777,28778,28781,28781,28779,28780
202001090858,28776,28777,28774,28777,28778,28779,28776,28779
202001090859,28777,28778,28776,28777,28779,28780,28778,28779
202001090900,28777,28782,28770,28781,28779,28785,28772,28783
202001090901,28782,28783,28771,28773,28784,28785,28773,28776
202001090902,28773,28778,28773,28775,28776,28780,28775,28777
