日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202109150700,34489,34489,34476,34483,34492,34494,34482,34490
202109150701,34483,34492,34479,34491,34490,34497,34484,34497
202109150702,34491,34492,34486,34486,34497,34497,34490,34491
202109150703,34486,34489,34483,34486,34491,34494,34489,34491
202109150704,34486,34486,34482,34482,34491,34491,34487,34487
202109150705,34482,34483,34476,34476,34487,34488,34481,34481
202109150706,34476,34480,34474,34475,34481,34484,34479,34481
202109150707,34474,34480,34473,34480,34480,34486,34478,34485
202109150708,34480,34481,34479,34479,34485,34486,34484,34484
202109150709,34480,34485,34480,34484,34485,34490,34485,34488
202109150710,34484,34490,34484,34489,34488,34495,34488,34494
202109150711,34489,34491,34488,34490,34494,34496,34493,34495
202109150712,34491,34494,34491,34492,34496,34499,34496,34498
202109150713,34492,34492,34488,34489,34498,34498,34493,34493
202109150714,34489,34490,34486,34489,34493,34495,34490,34494
202109150715,34489,34494,34489,34493,34494,34499,34494,34498
202109150716,34493,34493,34490,34490,34498,34498,34494,34495
202109150717,34490,34490,34489,34490,34495,34495,34494,34495
202109150718,34490,34491,34490,34490,34495,34496,34494,34494
202109150719,34490,34490,34488,34490,34494,34495,34493,34495
202109150720,34490,34492,34487,34489,34495,34496,34492,34494
202109150721,34488,34489,34485,34485,34493,34494,34489,34490
202109150722,34485,34491,34485,34491,34490,34496,34489,34495
202109150723,34491,34492,34489,34490,34495,34497,34494,34496
202109150724,34490,34492,34488,34488,34496,34496,34494,34494
202109150725,34488,34489,34485,34485,34494,34494,34489,34490
202109150726,34485,34486,34484,34485,34490,34491,34488,34490
202109150727,34485,34486,34484,34484,34490,34491,34488,34488
202109150728,34484,34484,34481,34481,34488,34488,34485,34486
202109150729,34481,34482,34480,34480,34486,34487,34486,34486
202109150730,34480,34488,34480,34487,34486,34492,34486,34491
202109150731,34487,34487,34478,34478,34491,34491,34482,34483
202109150732,34478,34478,34470,34471,34483,34483,34475,34476
202109150733,34471,34473,34469,34473,34476,34478,34473,34478
202109150734,34473,34473,34469,34469,34478,34478,34474,34474
202109150735,34469,34473,34469,34472,34474,34477,34474,34477
202109150736,34472,34472,34470,34470,34477,34477,34474,34475
202109150737,34470,34473,34470,34472,34475,34477,34475,34477
202109150738,34472,34474,34472,34473,34477,34479,34476,34477
202109150739,34473,34473,34470,34473,34477,34477,34475,34477
202109150740,34473,34473,34470,34471,34477,34477,34474,34475
202109150741,34471,34475,34471,34474,34475,34479,34475,34478
202109150742,34475,34475,34471,34473,34479,34479,34476,34478
202109150743,34473,34475,34472,34473,34478,34479,34477,34478
202109150744,34472,34474,34471,34471,34477,34478,34475,34475
202109150745,34471,34475,34471,34474,34475,34479,34475,34479
202109150746,34474,34474,34471,34471,34479,34479,34476,34476
202109150747,34471,34472,34471,34472,34476,34477,34476,34477
202109150748,34472,34473,34471,34471,34477,34477,34475,34476
202109150749,34471,34471,34467,34467,34476,34476,34471,34471
202109150750,34467,34479,34467,34479,34471,34483,34471,34483
202109150751,34479,34481,34477,34478,34483,34486,34481,34483
202109150752,34479,34481,34478,34478,34484,34485,34483,34483
202109150753,34478,34483,34477,34483,34483,34488,34482,34487
202109150754,34483,34483,34479,34481,34487,34487,34484,34486
202109150755,34481,34484,34481,34483,34486,34488,34486,34488
202109150756,34484,34485,34484,34484,34489,34490,34488,34488
202109150757,34484,34485,34483,34483,34488,34490,34488,34488
202109150758,34483,34487,34483,34484,34488,34492,34488,34489
202109150759,34484,34485,34483,34483,34489,34490,34488,34488
202109150800,34483,34488,34483,34486,34488,34492,34488,34491
202109150801,34486,34486,34479,34479,34491,34491,34484,34484
202109150802,34479,34480,34477,34480,34484,34485,34482,34485
202109150803,34480,34481,34476,34477,34485,34486,34481,34481
202109150804,34477,34480,34475,34479,34481,34484,34479,34483
202109150805,34479,34484,34479,34483,34483,34488,34483,34487
202109150806,34484,34484,34481,34481,34488,34488,34486,34486
202109150807,34481,34483,34481,34481,34486,34488,34485,34486
202109150808,34481,34484,34481,34484,34486,34489,34485,34489
202109150809,34484,34487,34484,34485,34489,34492,34489,34490
202109150810,34485,34485,34482,34483,34490,34490,34486,34487
202109150811,34483,34483,34477,34478,34487,34487,34482,34482
202109150812,34478,34481,34476,34481,34482,34486,34481,34486
202109150813,34481,34483,34480,34482,34486,34487,34485,34487
202109150814,34482,34484,34481,34481,34487,34489,34486,34486
202109150815,34481,34484,34480,34481,34486,34488,34484,34486
202109150816,34481,34481,34479,34479,34486,34486,34483,34484
