日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202007310700,10910.4,10925.3,10907.8,10921.3,10913.4,10926.2,10910.8,10922.6
202007310701,10921.3,10926.5,10919.9,10919.9,10922.6,10927.3,10920.5,10921.4
202007310702,10919.9,10921.6,10913.9,10917.7,10921.4,10922.7,10915,10919.8
202007310703,10917.7,10919.9,10914.9,10918.8,10919.8,10920.9,10915.7,10920.1
202007310704,10918.9,10918.9,10915.6,10916.3,10920.4,10920.4,10916.7,10918.1
202007310705,10916,10919.4,10915.8,10917.1,10917.8,10920,10916.9,10918.7
202007310706,10917.1,10917.6,10914.7,10914.7,10918.7,10919,10915.5,10916
202007310707,10914.9,10915.6,10906.4,10907,10916.2,10916.7,10908.1,10908.1
202007310708,10907,10908.8,10902.8,10903.4,10908.1,10909.9,10904.5,10904.9
202007310709,10903.4,10908.5,10903.1,10905,10904.9,10909.4,10904.8,10907.1
202007310710,10905,10907.6,10903.1,10903.1,10907.1,10908.9,10904.9,10904.9
202007310711,10903.1,10904.1,10900.9,10902.5,10904.9,10905.7,10901.4,10903.8
202007310712,10902.5,10903.3,10900.2,10901.1,10903.8,10903.9,10900.9,10901.9
202007310713,10900.8,10902.1,10900,10901.4,10901.9,10903,10901,10903
202007310714,10901.3,10903.2,10900.1,10900.1,10902.9,10904.5,10901.1,10902.2
202007310715,10900.1,10900.4,10896,10896.9,10902.2,10902.2,10897,10898.2
202007310716,10897.4,10899.6,10894.9,10894.9,10897.9,10900.4,10896,10896
202007310717,10894.9,10898.4,10894.9,10897,10896,10899.7,10896,10898.6
202007310718,10897,10899.6,10897,10899,10898.6,10900.4,10898.6,10900
202007310719,10898.7,10899.1,10896.4,10896.9,10899.8,10900.1,10897.5,10898.2
202007310720,10896.9,10897.4,10895.6,10895.6,10898.2,10898.7,10896.8,10896.9
202007310721,10895.6,10896.3,10889.9,10891.3,10896.9,10897.2,10891.4,10892.4
202007310722,10891.2,10893.8,10890.4,10893.8,10892.3,10894.9,10891.2,10894.9
202007310723,10894,10894,10890.2,10891.2,10895,10895,10891.4,10892.3
202007310724,10891.2,10893.6,10890.9,10893.6,10892.3,10895.2,10892.3,10894.9
202007310725,10893.6,10899,10893.6,10895.1,10894.9,10900.1,10894.9,10896.2
202007310726,10895,10895.7,10893.6,10895.5,10896.1,10897.6,10894.8,10897.6
202007310727,10895.3,10898.9,10895.3,10898.3,10897.4,10899.7,10897.4,10899.6
202007310728,10898.3,10901.5,10897.4,10901.5,10899.6,10902.5,10898.5,10902.5
202007310729,10901.5,10902,10897.6,10897.7,10902.5,10902.8,10898.4,10899
202007310730,10897.7,10897.7,10889.8,10890.3,10899,10899,10891.4,10891.9
202007310731,10890.3,10891.4,10885.7,10885.7,10891.9,10892.8,10887.3,10887.5
202007310732,10885.6,10894.5,10885.5,10894.5,10887.4,10895.5,10886.9,10895.5
202007310733,10894.5,10894.7,10889.8,10889.8,10895.5,10896.3,10890.8,10890.8
202007310734,10889.8,10891.4,10886.6,10887.1,10890.8,10892.2,10887.7,10888.4
202007310735,10887.1,10891.7,10886.4,10889.1,10888.4,10893,10887.5,10890.4
202007310736,10889.1,10889.6,10887.5,10889.2,10890.4,10890.8,10888.3,10890.3
202007310737,10889.3,10889.3,10885.8,10886.6,10890.4,10890.4,10886.5,10887.7
202007310738,10886.6,10886.8,10885.4,10886.7,10887.7,10887.7,10886.2,10887.5
202007310739,10886.7,10888.5,10884,10887.5,10887.5,10889.6,10885.1,10888.8
202007310740,10887.5,10889.7,10887.4,10887.6,10888.8,10890.5,10888.2,10888.9
202007310741,10887.6,10887.7,10882.8,10883.6,10888.9,10888.9,10883.6,10884.9
202007310742,10883.6,10885.1,10882.8,10885,10884.9,10886.3,10883.7,10886.3
202007310743,10884.9,10885.4,10883,10885.1,10886.2,10886.4,10884.5,10886.4
202007310744,10885.2,10886.2,10883.6,10883.6,10886.5,10887.4,10885.2,10885.4
202007310745,10883.6,10887.1,10883.6,10887,10885.4,10888,10885.3,10887.8
