日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
201910030700,52.46,52.52,52.44,52.49,52.49,52.55,52.47,52.52
201910030701,52.49,52.49,52.45,52.47,52.52,52.52,52.48,52.5
201910030702,52.47,52.47,52.47,52.47,52.5,52.5,52.5,52.5
201910030703,52.47,52.47,52.47,52.47,52.5,52.5,52.5,52.5
201910030704,52.47,52.48,52.47,52.48,52.5,52.51,52.5,52.51
201910030705,52.48,52.49,52.48,52.49,52.51,52.52,52.51,52.52
201910030706,52.49,52.49,52.49,52.49,52.52,52.52,52.52,52.52
201910030707,52.49,52.49,52.48,52.48,52.52,52.52,52.51,52.51
201910030708,52.48,52.48,52.48,52.48,52.51,52.51,52.51,52.51
201910030709,52.48,52.49,52.48,52.49,52.51,52.52,52.51,52.52
201910030710,52.49,52.49,52.49,52.49,52.52,52.52,52.52,52.52
201910030711,52.49,52.51,52.49,52.51,52.52,52.54,52.52,52.54
201910030712,52.51,52.52,52.51,52.52,52.54,52.55,52.54,52.55
201910030713,52.52,52.53,52.52,52.53,52.55,52.56,52.55,52.56
201910030714,52.53,52.53,52.53,52.53,52.56,52.56,52.56,52.56
201910030715,52.53,52.53,52.52,52.53,52.56,52.56,52.55,52.56
201910030716,52.53,52.53,52.53,52.53,52.56,52.56,52.56,52.56
201910030717,52.53,52.55,52.53,52.53,52.56,52.58,52.56,52.56
201910030718,52.53,52.54,52.53,52.54,52.56,52.57,52.56,52.57
201910030719,52.54,52.54,52.54,52.54,52.57,52.57,52.57,52.57
201910030720,52.54,52.54,52.53,52.53,52.57,52.57,52.56,52.56
201910030721,52.53,52.53,52.51,52.51,52.56,52.56,52.54,52.54
201910030722,52.51,52.51,52.51,52.51,52.54,52.54,52.54,52.54
201910030723,52.51,52.51,52.49,52.5,52.54,52.54,52.52,52.53
201910030724,52.5,52.5,52.49,52.5,52.53,52.53,52.52,52.53
201910030725,52.5,52.5,52.49,52.49,52.53,52.53,52.52,52.52
201910030726,52.49,52.49,52.49,52.49,52.52,52.52,52.52,52.52
201910030727,52.49,52.5,52.49,52.5,52.52,52.53,52.52,52.53
201910030728,52.5,52.5,52.5,52.5,52.53,52.53,52.53,52.53
201910030729,52.5,52.51,52.49,52.49,52.53,52.54,52.52,52.52
201910030730,52.49,52.5,52.48,52.5,52.52,52.53,52.51,52.53
201910030731,52.5,52.51,52.5,52.51,52.53,52.54,52.53,52.54
201910030732,52.51,52.53,52.51,52.52,52.54,52.56,52.54,52.55
201910030733,52.52,52.55,52.52,52.53,52.55,52.58,52.55,52.56
201910030734,52.53,52.54,52.53,52.54,52.56,52.57,52.56,52.57
201910030735,52.54,52.54,52.53,52.53,52.57,52.57,52.56,52.56
201910030736,52.53,52.54,52.52,52.53,52.56,52.57,52.55,52.56
201910030737,52.53,52.54,52.53,52.53,52.56,52.57,52.56,52.56
201910030738,52.53,52.54,52.53,52.54,52.56,52.57,52.56,52.57
201910030739,52.54,52.54,52.53,52.53,52.57,52.57,52.56,52.56
201910030740,52.53,52.54,52.53,52.54,52.56,52.57,52.56,52.57
201910030741,52.54,52.54,52.54,52.54,52.57,52.57,52.57,52.57
201910030742,52.54,52.54,52.54,52.54,52.57,52.57,52.57,52.57
201910030743,52.54,52.54,52.54,52.54,52.57,52.57,52.57,52.57
201910030744,52.54,52.54,52.54,52.54,52.57,52.57,52.57,52.57
201910030745,52.54,52.55,52.54,52.54,52.57,52.58,52.57,52.57
201910030746,52.54,52.54,52.52,52.52,52.57,52.57,52.55,52.55
201910030747,52.52,52.52,52.5,52.51,52.55,52.55,52.53,52.54
201910030748,52.51,52.52,52.51,52.52,52.54,52.55,52.54,52.55
201910030749,52.52,52.53,52.52,52.53,52.55,52.56,52.55,52.56
201910030750,52.53,52.54,52.53,52.54,52.56,52.57,52.56,52.57
201910030751,52.54,52.55,52.53,52.55,52.57,52.58,52.56,52.58
201910030752,52.55,52.57,52.54,52.57,52.58,52.6,52.57,52.6
201910030753,52.57,52.57,52.56,52.56,52.6,52.6,52.59,52.59
201910030754,52.56,52.59,52.55,52.58,52.59,52.62,52.58,52.61
201910030755,52.58,52.58,52.56,52.56,52.61,52.61,52.59,52.59
201910030756,52.56,52.58,52.56,52.58,52.59,52.61,52.59,52.61
201910030757,52.58,52.58,52.57,52.58,52.61,52.61,52.6,52.61
201910030758,52.58,52.59,52.58,52.58,52.61,52.62,52.61,52.61
