日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
202010150701,28.26,28.26,28.25,28.25,28.33,28.33,28.31,28.31
202010150702,28.26,28.26,28.26,28.26,28.32,28.32,28.32,28.32
202010150703,28.26,28.26,28.26,28.26,28.32,28.32,28.32,28.32
202010150704,28.26,28.26,28.25,28.25,28.32,28.32,28.3,28.3
202010150705,28.25,28.25,28.19,28.19,28.3,28.3,28.29,28.29
202010150706,28.19,28.19,28.19,28.19,28.29,28.29,28.29,28.29
202010150707,28.19,28.23,28.19,28.23,28.29,28.3,28.28,28.29
202010150708,28.23,28.23,28.22,28.23,28.29,28.29,28.29,28.29
202010150709,28.23,28.23,28.19,28.21,28.29,28.3,28.28,28.28
202010150710,28.21,28.21,28.21,28.21,28.28,28.28,28.28,28.28
202010150711,28.21,28.21,28.17,28.17,28.28,28.28,28.23,28.23
202010150712,28.17,28.17,28.16,28.16,28.23,28.23,28.22,28.22
202010150713,28.16,28.19,28.16,28.19,28.22,28.25,28.22,28.25
202010150714,28.19,28.21,28.19,28.21,28.25,28.28,28.25,28.28
202010150715,28.21,28.21,28.17,28.19,28.28,28.28,28.24,28.25
202010150716,28.19,28.2,28.19,28.2,28.25,28.27,28.25,28.26
202010150717,28.2,28.2,28.17,28.17,28.26,28.26,28.24,28.24
202010150718,28.17,28.2,28.17,28.2,28.24,28.27,28.24,28.27
202010150719,28.2,28.2,28.19,28.19,28.27,28.27,28.25,28.25
202010150720,28.19,28.19,28.17,28.17,28.25,28.25,28.24,28.24
202010150721,28.17,28.17,28.17,28.17,28.24,28.24,28.24,28.24
202010150722,28.17,28.18,28.17,28.18,28.24,28.24,28.24,28.24
202010150723,28.2,28.2,28.17,28.17,28.26,28.26,28.24,28.24
202010150724,28.17,28.19,28.17,28.19,28.24,28.25,28.24,28.25
202010150725,28.19,28.2,28.19,28.2,28.25,28.27,28.25,28.27
202010150726,28.2,28.2,28.2,28.2,28.27,28.27,28.26,28.26
202010150727,28.2,28.2,28.2,28.2,28.26,28.27,28.26,28.27
202010150728,28.2,28.2,28.17,28.19,28.27,28.27,28.24,28.25
202010150729,28.19,28.19,28.19,28.19,28.25,28.25,28.25,28.25
202010150730,28.19,28.19,28.19,28.19,28.25,28.25,28.25,28.25
